C7  3.29  5.94 270 0.1uF C1206
C9 28.94 84.82 180 0.1uF C1206
C10 37.96  5.52 270 0.1uF C1206
C11 118.75 62.00 180 0.1uF C1206
C12 133.73 77.01  90 01.uF C1206
C20 120.04 57.40 180 100nF C1206
C21 69.27 39.07   0 100nF C1206
C22 69.27 41.26   0 1uF C1206
C24 19.28 43.03 180 100nF C1206
C25 16.85 45.66 180 1uF C1206
C28 86.91 44.59 180 100nF C1206
C29 87.07 42.27 180 1uF C1206
C30 34.63 42.66   0 1uF C1206
C31 34.66 40.42   0 100nF C1206
C32 51.54 46.62 180 100nF C1206
C33 51.57 43.88 180 1uF C1206
C34 23.19 62.81  90 100nF C1206
C36 146.20 84.07   0 100uF C1206
C38 135.04 64.58   0 100uF C1206
R2 52.13  7.61  90 470 R1206
R3 20.00  6.76  90 470 R1206
R5  4.53 46.19  90 300K R1206
R6 151.13 13.97   0 220 R1206
R7 135.89 13.97   0 220 R1206
R8 119.38 13.97   0 470 R1206
R9 51.08 33.63   0 10k R1206
R10 64.77 74.93  90 220 R1206
R11 46.56 90.30 180 220 R1206
R12 17.67 33.15   0 10k R1206
R13 87.17 32.41   0 10k R1206
R14  6.27 42.48   0 100K R1206
R15  7.67 10.74 270 0.1R RESC6335X60N
R18 130.10 83.19 180 0.005 RESC6335X60N
R19 29.21 76.20   0 0.005 RESC6335X60N
R20 114.30 68.58 180 0.005 RESC6335X60N
R21 37.05 33.03  90 300K R1206
R22 37.07 26.10  90 100K R1206
R26 109.58 62.92 180 30K R1206
R27 125.32 78.16   0 30K R1206
R28 34.06 82.91   0 30K R1206
R30  1.92 15.05 270 10k R1206
R35 29.92 63.28  90 10k R1206
R36 29.91 58.05  90 10k R1206
U1  3.63 11.00 270  SOT95P240X110-5N
U4 29.26 81.28   0  SOT95P240X110-5N
U5 130.05 77.47 180  SOT95P240X110-5N
U6 114.05 64.26 180  SOT95P240X110-5N
